releve_id,releve_type,habitat_id,date,location
2962567,922,623,2023-04-29T11:12:49+02:00,"(47.35100397411499, 8.503320879700267)"
2962829,922,424,2023-05-03T16:36:51+02:00,"(47.561614200997894, 8.530833564710939)"
2962830,922,621,2023-05-03T15:37:43+02:00,"(47.56302903567859, 8.534049321221406)"
2962841,922,511,2023-05-03T13:46:57+02:00,"(47.562289316383996, 8.53110059778993)"
2962842,923,621,2023-05-03T15:54:30+02:00,"(47.5630298639031, 8.533857181978002)"
2962843,922,424,2023-05-03T00:00:00+02:00,"(47.562061161274556, 8.53079212761419)"
2962857,923,511,2023-05-04T15:06:45+02:00,"(47.562289316383996, 8.53110059778993)"
2962865,923,424,2023-05-03T00:00:00+02:00,"(47.56159604345489, 8.53070841270517)"
2962866,923,424,2023-05-03T00:00:00+02:00,"(47.562060617959084, 8.530792515097662)"
2962867,923,621,2023-05-03T00:00:00+02:00,"(47.563062473817574, 8.534080043710818)"
2962976,922,451,2023-05-08T17:05:08+02:00,"(47.3612732329828, 8.363444991385801)"
2962977,923,451,2023-05-08T00:00:00+02:00,"(47.361257911021134, 8.363437576874082)"
2963070,923,451,2023-05-09T07:32:54+02:00,"(47.37298577, 8.47966425)"
2963071,922,451,2023-05-09T08:36:57+02:00,"(47.37300973192605, 8.47962571496833)"
2963285,922,711,2023-05-12T17:14:44+02:00,"(47.324709015031374, 8.365505618384878)"
2963346,923,623,2023-05-14T10:17:09+02:00,"(47.37254862710749, 8.474616989988188)"
2963347,922,623,2023-05-14T10:22:03+02:00,"(47.37250355999155, 8.474687482970703)"
2963348,922,232,2023-05-14T13:18:31+02:00,"(47.31745011040307, 8.371806559263275)"
2963349,923,232,2023-05-14T13:09:51+02:00,"(47.31746455, 8.37177943)"
2963350,923,711,2023-05-12T16:17:32+02:00,"(47.324672163645296, 8.36545748515691)"
2963404,922,232,2023-05-15T16:35:04+02:00,"(47.0427538761072, 8.568306155225361)"
2963441,922,2211,2023-05-15T21:19:44+02:00,"(47.38495926649845, 8.50021991813547)"
2963442,923,232,2023-05-15T16:33:46+02:00,"(47.04278572684451, 8.56822325842315)"
2963444,922,625,2023-05-15T13:53:59+02:00,"(47.04661301490491, 8.566591342690938)"
2963445,923,625,2023-05-15T13:15:19+02:00,"(47.04651404, 8.56653177)"
2963446,923,2211,2023-05-15T11:38:15+02:00,"(47.04621568, 8.56507558)"
2963590,922,453,2023-05-17T22:31:15+02:00,"(47.373265519031044, 8.481028199736565)"
2963591,923,453,2023-05-17T21:12:13+02:00,"(47.373266697737016, 8.481027163494428)"
2963592,922,515,2023-05-17T18:36:32+02:00,"(47.358051333081804, 8.45069778200314)"
2963593,923,515,2023-05-17T18:17:02+02:00,"(47.35801053032489, 8.450622081755697)"
2964002,923,621,2023-05-23T00:00:00+02:00,"(47.332268178724725, 8.945773983163017)"
2964003,923,232,2023-05-23T11:37:13+02:00,"(47.33656876, 8.96594256)"
