# Based on  the Swiss vascular plant taxa Checklist 2017 (Juillerat et al. (2017); update 2023-05-03).
ID,Rank,Name,Common name,Genus,Family,Order,Class,Phylum,Species_level_ID,Aggregate_level_ID,COMECO_ID
1000000,2263,Abies alba Mill.,Tanne,Abies,Pinaceae,Pinales,Coniferopsida,Tracheophyta,1000000,1000000,1000000
1000010,2263,Abies nordmanniana (Steven) Spach,Nordmann-Tanne,Abies,Pinaceae,Pinales,Coniferopsida,Tracheophyta,1000010,1000010,1000010
1000015,2263,Abutilon megapotamicum (Spreng.) A. St.-Hil. & Naudin,,Abutilon,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,1000015,1000015,1000015
1000020,2263,Abutilon theophrasti Medik.,Chinesische Samtpappel,Abutilon,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,1000020,1000020,1000020
1000030,2263,Acacia dealbata Link,Falsche Mimose,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,1000030,1000030,1000030
1000040,2263,Acalypha australis L.,Südliches Nesselblatt,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,1000040,1000040,1000040
1000050,2263,Acalypha virginica L.,Virginisches Nesselblatt,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,1000050,1000050,1000050
1000060,2263,Acanthus mollis L.,Akanthus,Acanthus,Acanthaceae,Lamiales,Magnoliopsida,Tracheophyta,1000060,1000060,1000060
1000070,2263,Acer campestre L.,Feld-Ahorn,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,1000070,1000070,1000070
1000080,2263,Acer cappadocicum Gled.,,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,1000080,1000080,1000080
1000090,2263,Acer monspessulanum L.,Französischer Ahorn,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,1000090,1000090,1000090
1000100,2263,Acer negundo L.,Eschen-Ahorn,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,1000100,1000100,1000100
