# Growth form by plant species, assigned by family where possible, or manually.
"sp_name","growth_form"
"Abies alba Mill.","Woody"
"Acer campestre L.","Woody"
"Acer pseudoplatanus L.","Woody"
"Achillea atrata L.","Forb"
"Achillea macrophylla L.","Forb"
"Achillea nana L.","Forb"
"Achnatherum calamagrostis (L.) P. Beauv.","Graminoid"
"Aconitum lycoctonum L.","Forb"
"Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman","Forb"
"Adenostyles alliariae (Gouan) A. Kern.","Forb"
"Adenostyles alpina (L.) Bluff & Fingerh.","Forb"
"Aegopodium podagraria L.","Forb"
"Agrostis alpina Scop.","Graminoid"
"Agrostis gigantea Roth","Graminoid"
"Ajuga genevensis L.","Forb"
"Ajuga reptans L.","Forb"
"Alchemilla decumbens Buser","Forb"
"Alchemilla glabra Neygenf.","Forb"
"Alchemilla nitida Buser","Forb"
"Alchemilla pentaphyllea L.","Forb"
"Alchemilla plicatula aggr.","Forb"
"Alchemilla vulgaris aggr.","Forb"
"Alisma plantago-aquatica L.","Forb"
"Alliaria petiolata (M. Bieb.) Cavara & Grande","Forb"
"Allium carinatum L. subsp. carinatum","Forb"
"Allium carinatum subsp. pulchellum Bonnier & Layens","Forb"
"Allium lusitanicum Lam.","Forb"
"Allium ursinum L.","Forb"
"Alnus glutinosa (L.) Gaertn.","Woody"
"Alnus incana (L.) Moench","Woody"
"Alnus viridis (Chaix) DC.","Woody"
"Androsace alpina (L.) Lam.","Forb"
"Anemone narcissiflora L.","Forb"
"Anemone nemorosa L.","Forb"
"Angelica sylvestris L.","Forb"
"Antennaria carpatica (Wahlenb.) Bluff & Fingerh.","Forb"
"Anthericum ramosum L.","Forb"
"Anthoxanthum alpinum Á. Löve & D. Löve","Graminoid"
"Anthoxanthum odoratum L.","Graminoid"
"Anthyllis vulneraria L.","Forb"
"Anthyllis vulneraria L. subsp. vulneraria","Forb"
"Arabis caerulea All.","Forb"
"Arabis subcoriacea Gren.","Forb"
"Arctostaphylos uva-ursi (L.) Spreng.","Woody"
"Arenaria serpyllifolia L.","Forb"
"Arnica montana L.","Forb"
"Arrhenatherum elatius (L.) J. Presl & C. Presl","Graminoid"
"Arrhenatherum elatius (L.) J. Presl & C. Presl subsp. elatius","Graminoid"
"Artemisia absinthium L.","Forb"
"Aruncus dioicus (Walter) Fernald","Forb"
"Asperula cynanchica L.","Forb"
"Asplenium ceterach L.","Fern"
"Asplenium ruta-muraria L.","Fern"
"Asplenium trichomanes L.","Fern"
"Aster alpinus L.","Forb"
"Aster bellidiastrum (L.) Scop.","Forb"
"Aster linosyris (L.) Bernh.","Forb"
"Astrantia major L.","Forb"
"Athyrium filix-femina (L.) Roth","Forb"
"Atropa bella-donna L.","Forb"
"Avenella flexuosa (L.) Drejer","Graminoid"
"Bellis perennis L.","Forb"
"Berberis vulgaris L.","Woody"
"Betula nana L.","Woody"
"Betula pubescens Ehrh.","Woody"
"Biscutella laevigata L.","Forb"
"Blackstonia perfoliata (L.) Huds.","Forb"
"Blysmus compressus (L.) Link","Graminoid"
"Botrychium lunaria (L.) Sw.","Fern"
"Brachypodium pinnatum aggr.","Graminoid"
"Brachypodium rupestre (Host) Roem. & Schult.","Graminoid"
"Brachypodium sylvaticum (Huds.) P. Beauv.","Graminoid"
"Briza media L.","Graminoid"
"Bromus benekenii (Lange) Trimen","Graminoid"
"Bromus erectus Huds.","Graminoid"
"Bromus erectus Huds. subsp. erectus","Graminoid"
"Bromus ramosus Huds.","Graminoid"
"Buddleja davidii Franch.","Woody"
